trial_id,run_id,run_started_at,model_mode,model,prompt_set,image_set,sample_limit,features_requested,observation_id,photo_id,photo_url,taxon_id,species_inat,newcomb_species_name,feature,true_value,p1_prompt_parts_json,p1_raw,p1_parsed,p1_parse_rule,p2_prompt_parts_json,p2_raw,p2_parsed,p2_parse_rule,feature_correct,committed
notebook-20260701-085321,run-gpt-5-mini,2026-07-01T08:53:24-04:00,command,openai/gpt-5-mini,stepwise-v1,sample.csv,90,"key_flower_type,key_plant_type,key_leaf_type",36899280,58403499,https://inaturalist-open-data.s3.amazonaws.com/photos/58403499/original.jpg,85327,Polygonatum biflorum,Polygonatum biflorum,key_flower_type,6 Regular Parts,"[""Your task is to identify if the visual feature 'flower type' is discernible in the following image. Answer only: YES, NO, or INCONCLUSIVE. Answer YES if and only if the feature is clearly discernible in the image."", {""image"": ""https://inaturalist-open-data.s3.amazonaws.com/photos/58403499/original.jpg""}]",None,NO,parse_ync: startswith YES -> YES; startswith NO -> NO; contains INC -> INCONCLUSIVE; else INCONCLUSIVE,[],,INCONCLUSIVE,P2 skipped because P1 was not YES; parsed as INCONCLUSIVE,False,False
notebook-20260701-085321,run-gpt-5-mini,2026-07-01T08:53:24-04:00,command,openai/gpt-5-mini,stepwise-v1,sample.csv,90,"key_flower_type,key_plant_type,key_leaf_type",36899280,58403499,https://inaturalist-open-data.s3.amazonaws.com/photos/58403499/original.jpg,85327,Polygonatum biflorum,Polygonatum biflorum,key_plant_type,Wildflowers - Alternate Leaves,"[""Your task is to identify if the visual feature 'plant type' is discernible in the following image. Answer only: YES, NO, or INCONCLUSIVE. Answer YES if and only if the feature is clearly discernible in the image."", {""image"": ""https://inaturalist-open-data.s3.amazonaws.com/photos/58403499/original.jpg""}]",None,NO,parse_ync: startswith YES -> YES; startswith NO -> NO; contains INC -> INCONCLUSIVE; else INCONCLUSIVE,[],,INCONCLUSIVE,P2 skipped because P1 was not YES; parsed as INCONCLUSIVE,False,False
notebook-20260701-085321,run-gpt-5-mini,2026-07-01T08:53:24-04:00,command,openai/gpt-5-mini,stepwise-v1,sample.csv,90,"key_flower_type,key_plant_type,key_leaf_type",36899280,58403499,https://inaturalist-open-data.s3.amazonaws.com/photos/58403499/original.jpg,85327,Polygonatum biflorum,Polygonatum biflorum,key_leaf_type,Leaves Entire,"[""Your task is to identify if the visual feature 'leaf type' is discernible in the following image. Answer only: YES, NO, or INCONCLUSIVE. Answer YES if and only if the feature is clearly discernible in the image."", {""image"": ""https://inaturalist-open-data.s3.amazonaws.com/photos/58403499/original.jpg""}]",None,NO,parse_ync: startswith YES -> YES; startswith NO -> NO; contains INC -> INCONCLUSIVE; else INCONCLUSIVE,[],,INCONCLUSIVE,P2 skipped because P1 was not YES; parsed as INCONCLUSIVE,False,False
notebook-20260701-085321,run-gpt-5-mini,2026-07-01T08:53:24-04:00,command,openai/gpt-5-mini,stepwise-v1,sample.csv,90,"key_flower_type,key_plant_type,key_leaf_type",51163540,81272997,https://inaturalist-open-data.s3.amazonaws.com/photos/81272997/original.jpg,85327,Polygonatum biflorum,Polygonatum biflorum,key_flower_type,6 Regular Parts,"[""Your task is to identify if the visual feature 'flower type' is discernible in the following image. Answer only: YES, NO, or INCONCLUSIVE. Answer YES if and only if the feature is clearly discernible in the image."", {""image"": ""https://inaturalist-open-data.s3.amazonaws.com/photos/81272997/original.jpg""}]",None,NO,parse_ync: startswith YES -> YES; startswith NO -> NO; contains INC -> INCONCLUSIVE; else INCONCLUSIVE,[],,INCONCLUSIVE,P2 skipped because P1 was not YES; parsed as INCONCLUSIVE,False,False
notebook-20260701-085321,run-gpt-5-mini,2026-07-01T08:53:24-04:00,command,openai/gpt-5-mini,stepwise-v1,sample.csv,90,"key_flower_type,key_plant_type,key_leaf_type",51163540,81272997,https://inaturalist-open-data.s3.amazonaws.com/photos/81272997/original.jpg,85327,Polygonatum biflorum,Polygonatum biflorum,key_plant_type,Wildflowers - Alternate Leaves,"[""Your task is to identify if the visual feature 'plant type' is discernible in the following image. Answer only: YES, NO, or INCONCLUSIVE. Answer YES if and only if the feature is clearly discernible in the image."", {""image"": ""https://inaturalist-open-data.s3.amazonaws.com/photos/81272997/original.jpg""}]",None,NO,parse_ync: startswith YES -> YES; startswith NO -> NO; contains INC -> INCONCLUSIVE; else INCONCLUSIVE,[],,INCONCLUSIVE,P2 skipped because P1 was not YES; parsed as INCONCLUSIVE,False,False
notebook-20260701-085321,run-gpt-5-mini,2026-07-01T08:53:24-04:00,command,openai/gpt-5-mini,stepwise-v1,sample.csv,90,"key_flower_type,key_plant_type,key_leaf_type",51163540,81272997,https://inaturalist-open-data.s3.amazonaws.com/photos/81272997/original.jpg,85327,Polygonatum biflorum,Polygonatum biflorum,key_leaf_type,Leaves Entire,"[""Your task is to identify if the visual feature 'leaf type' is discernible in the following image. Answer only: YES, NO, or INCONCLUSIVE. Answer YES if and only if the feature is clearly discernible in the image."", {""image"": ""https://inaturalist-open-data.s3.amazonaws.com/photos/81272997/original.jpg""}]",YES,YES,parse_ync: startswith YES -> YES; startswith NO -> NO; contains INC -> INCONCLUSIVE; else INCONCLUSIVE,"[""Which of the following options best describes the 'leaf type' of the plant in this image?\nIf the feature is not clearly visible, choose 'Cannot determine from this image'.\n\nOptions:"", ""Plant image to classify:"", {""image"": ""https://inaturalist-open-data.s3.amazonaws.com/photos/81272997/original.jpg""}, ""\n1. **Leaves Divided** — What is the leaf form?"", ""Botanical illustration for option 1:"", {""image"": ""/Users/lindseyma/Documents/GitHub/arborphy/newcomb_wildflower_guide/illustrations/leaves_divided.png""}, ""\n2. **Leaves Entire** — What is the leaf form?"", ""Botanical illustration for option 2:"", {""image"": ""/Users/lindseyma/Documents/GitHub/arborphy/newcomb_wildflower_guide/illustrations/leaves_entire.png""}, ""\n3. **Leaves Toothed or Lobed** — What is the leaf form?"", ""Botanical illustration for option 3:"", {""image"": ""/Users/lindseyma/Documents/GitHub/arborphy/newcomb_wildflower_guide/illustrations/leaves_toothed.png""}, ""\n4. **No Apparent Leaves** — What is the leaf form?"", ""\n5. **Cannot determine from this image**"", ""\nRespond with ONLY the exact option text (e.g., \""Leaves Divided\"") or \""Cannot determine from this image\"".""]",Leaves Entire,Leaves Entire,parse_mc: exact value match; else substring value match; else contains 'cannot determine' -> INCONCLUSIVE; else leading option number; else INCONCLUSIVE,True,True
notebook-20260701-085321,run-gpt-5-mini,2026-07-01T08:53:24-04:00,command,openai/gpt-5-mini,stepwise-v1,sample.csv,90,"key_flower_type,key_plant_type,key_leaf_type",14859795,22183612,https://inaturalist-open-data.s3.amazonaws.com/photos/22183612/original.jpeg,85327,Polygonatum biflorum,Polygonatum biflorum,key_flower_type,6 Regular Parts,"[""Your task is to identify if the visual feature 'flower type' is discernible in the following image. Answer only: YES, NO, or INCONCLUSIVE. Answer YES if and only if the feature is clearly discernible in the image."", {""image"": ""https://inaturalist-open-data.s3.amazonaws.com/photos/22183612/original.jpeg""}]",NO,NO,parse_ync: startswith YES -> YES; startswith NO -> NO; contains INC -> INCONCLUSIVE; else INCONCLUSIVE,[],,INCONCLUSIVE,P2 skipped because P1 was not YES; parsed as INCONCLUSIVE,False,False
notebook-20260701-085321,run-gpt-5-mini,2026-07-01T08:53:24-04:00,command,openai/gpt-5-mini,stepwise-v1,sample.csv,90,"key_flower_type,key_plant_type,key_leaf_type",14859795,22183612,https://inaturalist-open-data.s3.amazonaws.com/photos/22183612/original.jpeg,85327,Polygonatum biflorum,Polygonatum biflorum,key_plant_type,Wildflowers - Alternate Leaves,"[""Your task is to identify if the visual feature 'plant type' is discernible in the following image. Answer only: YES, NO, or INCONCLUSIVE. Answer YES if and only if the feature is clearly discernible in the image."", {""image"": ""https://inaturalist-open-data.s3.amazonaws.com/photos/22183612/original.jpeg""}]",None,NO,parse_ync: startswith YES -> YES; startswith NO -> NO; contains INC -> INCONCLUSIVE; else INCONCLUSIVE,[],,INCONCLUSIVE,P2 skipped because P1 was not YES; parsed as INCONCLUSIVE,False,False
notebook-20260701-085321,run-gpt-5-mini,2026-07-01T08:53:24-04:00,command,openai/gpt-5-mini,stepwise-v1,sample.csv,90,"key_flower_type,key_plant_type,key_leaf_type",14859795,22183612,https://inaturalist-open-data.s3.amazonaws.com/photos/22183612/original.jpeg,85327,Polygonatum biflorum,Polygonatum biflorum,key_leaf_type,Leaves Entire,"[""Your task is to identify if the visual feature 'leaf type' is discernible in the following image. Answer only: YES, NO, or INCONCLUSIVE. Answer YES if and only if the feature is clearly discernible in the image."", {""image"": ""https://inaturalist-open-data.s3.amazonaws.com/photos/22183612/original.jpeg""}]",YES,YES,parse_ync: startswith YES -> YES; startswith NO -> NO; contains INC -> INCONCLUSIVE; else INCONCLUSIVE,"[""Which of the following options best describes the 'leaf type' of the plant in this image?\nIf the feature is not clearly visible, choose 'Cannot determine from this image'.\n\nOptions:"", ""Plant image to classify:"", {""image"": ""https://inaturalist-open-data.s3.amazonaws.com/photos/22183612/original.jpeg""}, ""\n1. **Leaves Divided** — What is the leaf form?"", ""Botanical illustration for option 1:"", {""image"": ""/Users/lindseyma/Documents/GitHub/arborphy/newcomb_wildflower_guide/illustrations/leaves_divided.png""}, ""\n2. **Leaves Entire** — What is the leaf form?"", ""Botanical illustration for option 2:"", {""image"": ""/Users/lindseyma/Documents/GitHub/arborphy/newcomb_wildflower_guide/illustrations/leaves_entire.png""}, ""\n3. **Leaves Toothed or Lobed** — What is the leaf form?"", ""Botanical illustration for option 3:"", {""image"": ""/Users/lindseyma/Documents/GitHub/arborphy/newcomb_wildflower_guide/illustrations/leaves_toothed.png""}, ""\n4. **No Apparent Leaves** — What is the leaf form?"", ""\n5. **Cannot determine from this image**"", ""\nRespond with ONLY the exact option text (e.g., \""Leaves Divided\"") or \""Cannot determine from this image\"".""]",Leaves Entire,Leaves Entire,parse_mc: exact value match; else substring value match; else contains 'cannot determine' -> INCONCLUSIVE; else leading option number; else INCONCLUSIVE,True,True
notebook-20260701-085321,run-gpt-5-mini,2026-07-01T08:53:24-04:00,command,openai/gpt-5-mini,stepwise-v1,sample.csv,90,"key_flower_type,key_plant_type,key_leaf_type",55121380,87747312,https://inaturalist-open-data.s3.amazonaws.com/photos/87747312/original.jpeg,133293,Limonium carolinianum,Limonium carolinianum,key_flower_type,5 Regular Parts,"[""Your task is to identify if the visual feature 'flower type' is discernible in the following image. Answer only: YES, NO, or INCONCLUSIVE. Answer YES if and only if the feature is clearly discernible in the image."", {""image"": ""https://inaturalist-open-data.s3.amazonaws.com/photos/87747312/original.jpeg""}]",None,NO,parse_ync: startswith YES -> YES; startswith NO -> NO; contains INC -> INCONCLUSIVE; else INCONCLUSIVE,[],,INCONCLUSIVE,P2 skipped because P1 was not YES; parsed as INCONCLUSIVE,False,False
